#Generated from excel Sequence Generator on 5/08/2015 3:43:12 PM
&	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	1	1	1	1	1	1	1536	1	1	1	1598	
% 625
! DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, READMINMAX, IMPEDANCE_MP145, IMPEDANCE_MP290, IMPEDANCE_MP580, IMPEDANCE_MP25, IMPEDANCE_CG145, WARMDOWN, COMPLIANCEON_A, COMPLIANCEON_B, COMPLIANCE_OFF, COMPLIANCE_WARMDOWN, 
@ 14_514_PCB1
*	1	0	31	-24	1	20	0	50	20	625	16
*	1	1	20	0	0	31	-24	50	20	625	16
*	1	0	31	-24	1	20	0	50	20	625	0
*	1	1	20	0	0	31	-24	50	20	625	0
*	2	1	20	50	1	20	100	50	20	625	0
*	2	2	20	50	2	20	100	50	20	625	0
*	2	3	20	50	3	20	100	50	20	625	0
*	2	4	20	50	4	20	100	50	20	625	0
*	2	5	20	50	5	20	100	50	20	625	0
*	2	6	20	50	1	20	100	50	20	625	0
*	2	7	20	50	4	20	100	50	20	625	0
*	2	8	20	50	1	20	100	50	20	625	0
*	2	9	20	50	1	20	100	50	20	625	0
*	2	10	20	50	5	20	100	50	20	625	0
*	2	11	20	50	1	20	100	50	20	625	0
*	2	12	20	50	1	20	100	50	20	625	0
*	2	13	20	50	23	23	0	50	20	625	0
*	2	14	20	50	23	23	0	50	20	625	0
*	2	15	20	50	23	23	0	50	20	625	0
*	2	16	20	50	23	23	0	50	20	625	0
*	3	0	31	-24	1	20	0	50	20	625	16
*	3	1	20	0	0	31	-24	50	20	625	16
*	3	0	31	-24	1	20	0	50	20	625	0
*	3	1	20	0	0	31	-24	50	20	625	0
*	4	1	20	100	1	20	200	50	20	625	0
*	4	2	20	100	2	20	200	50	20	625	0
*	4	3	20	100	3	20	200	50	20	625	0
