#Generated from excel Sequence Generator on 31/07/2015 3:27:28 PM
&	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	1	1	1	1	1	1	1536	1	1	1	1598	
% 625
! DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, READMINMAX, IMPEDANCE_MP145, IMPEDANCE_MP290, IMPEDANCE_MP580, IMPEDANCE_MP25, IMPEDANCE_CG145, WARMDOWN, COMPLIANCEON_A, COMPLIANCEON_B, COMPLIANCE_OFF, COMPLIANCE_WARMDOWN, 
@ 14_514_PCB1
*	1	0	31	-24	1	20	0	50	20	625	16
*	1	1	20	0	0	31	-24	50	20	625	16
*	1	0	31	-24	1	20	0	50	20	625	0
*	1	1	20	0	0	31	-24	50	20	625	0
*	2	1	20	9	6	20	48	50	20	625	0
*	2	2	20	16	2	20	16	50	20	625	0
*	2	3	20	28	5	20	48	50	20	625	0
*	2	4	20	32	3	20	24	50	20	625	0
*	2	5	20	40	1	20	8	50	20	625	0
*	2	6	20	48	1	20	8	50	20	625	0
*	2	7	20	56	4	20	32	50	20	625	0
*	2	8	20	64	1	20	8	50	20	625	0
*	2	9	20	72	1	20	8	50	20	625	0
*	2	10	20	80	5	20	48	50	20	625	0
*	2	11	20	88	1	20	8	50	20	625	0
*	2	12	20	96	1	20	8	50	20	625	0
*	2	13	20	104	23	23	0	50	20	625	0
*	2	14	20	112	23	23	0	50	20	625	0
*	2	15	20	120	23	23	0	50	20	625	0
*	2	16	20	128	23	23	0	50	20	625	0
*	3	0	31	-24	1	20	0	50	20	625	16
*	3	1	20	0	0	31	-24	50	20	625	16
*	3	0	31	-24	1	20	0	50	20	625	0
*	3	1	20	0	0	31	-24	50	20	625	0
*	4	1	20	18	6	20	96	50	20	625	0
*	4	2	20	32	2	20	32	50	20	625	0
*	4	3	20	56	5	20	96	50	20	625	0
*	4	4	20	64	3	20	48	50	20	625	0
*	4	5	20	80	1	20	16	50	20	625	0
*	4	6	20	96	1	20	16	50	20	625	0
*	4	7	20	112	4	20	64	50	20	625	0
*	4	8	20	128	1	20	16	50	20	625	0
*	4	9	20	144	1	20	16	50	20	625	0
*	4	10	20	160	5	20	96	50	20	625	0
*	4	11	20	176	1	20	16	50	20	625	0
*	4	12	20	192	1	20	16	50	20	625	0
*	4	13	20	208	23	23	0	50	20	625	0
*	4	14	20	224	23	23	0	50	20	625	0
*	4	15	20	240	23	23	0	50	20	625	0
*	4	16	20	256	23	23	0	50	20	625	0
*	5	0	31	-24	1	20	0	50	20	625	16
*	5	1	20	0	0	31	-24	50	20	625	16
*	5	0	31	-24	1	20	0	50	20	625	0
*	5	1	20	0	0	31	-24	50	20	625	0
*	6	1	20	27	6	20	144	50	20	625	0
*	6	2	20	48	2	20	48	50	20	625	0
*	6	3	20	84	5	20	144	50	20	625	0
*	6	4	20	96	3	20	72	50	20	625	0
*	6	5	20	120	1	20	24	50	20	625	0
*	6	6	20	144	1	20	24	50	20	625	0
*	6	7	20	168	4	20	96	50	20	625	0
*	6	8	20	192	1	20	24	50	20	625	0
*	6	9	20	216	1	20	24	50	20	625	0
*	6	10	20	240	5	20	144	50	20	625	0
*	6	11	20	264	1	20	24	50	20	625	0
*	6	12	20	288	1	20	24	50	20	625	0
*	6	13	20	312	23	23	0	50	20	625	0
*	6	14	20	336	23	23	0	50	20	625	0
*	6	15	20	360	23	23	0	50	20	625	0
*	6	16	20	384	23	23	0	50	20	625	0
*	7	0	31	-24	1	20	0	50	20	625	16
*	7	1	20	0	0	31	-24	50	20	625	16
*	7	0	31	-24	1	20	0	50	20	625	0
*	7	1	20	0	0	31	-24	50	20	625	0
*	8	1	20	36	6	20	192	50	20	625	0
*	8	2	20	64	2	20	64	50	20	625	0
*	8	3	20	112	5	20	192	50	20	625	0
*	8	4	20	128	3	20	96	50	20	625	0
*	8	5	20	160	1	20	32	50	20	625	0
*	8	6	20	192	1	20	32	50	20	625	0
*	8	7	20	224	4	20	128	50	20	625	0
*	8	8	20	256	1	20	32	50	20	625	0
*	8	9	20	288	1	20	32	50	20	625	0
*	8	10	20	320	5	20	192	50	20	625	0
*	8	11	20	352	1	20	32	50	20	625	0
*	8	12	20	384	1	20	32	50	20	625	0
*	8	13	20	416	23	23	0	50	20	625	0
*	8	14	20	448	23	23	0	50	20	625	0
*	8	15	20	480	23	23	0	50	20	625	0
*	8	16	20	512	23	23	0	50	20	625	0
*	9	0	31	-24	1	20	0	50	20	625	16
*	9	1	20	0	0	31	-24	50	20	625	16
*	9	0	31	-24	1	20	0	50	20	625	0
*	9	1	20	0	0	31	-24	50	20	625	0
*	10	1	20	45	6	20	240	50	20	625	0
*	10	2	20	80	2	20	80	50	20	625	0
*	10	3	20	140	5	20	240	50	20	625	0
*	10	4	20	160	3	20	120	50	20	625	0
*	10	5	20	200	1	20	40	50	20	625	0
*	10	6	20	240	1	20	40	50	20	625	0
*	10	7	20	280	4	20	160	50	20	625	0
*	10	8	20	320	1	20	40	50	20	625	0
*	10	9	20	360	1	20	40	50	20	625	0
*	10	10	20	400	5	20	240	50	20	625	0
*	10	11	20	440	1	20	40	50	20	625	0
*	10	12	20	480	1	20	40	50	20	625	0
*	10	13	20	520	23	23	0	50	20	625	0
*	10	14	20	560	23	23	0	50	20	625	0
